"SpeciesID"	"SpecCode"	"Species"	"Genus"	"AphiaID"	"Class"	"Order"	"Family"	"Fresh"	"Brack"	"Saltwater"	"DemersPelag"	"AnaCat"
"36"	"Fis-29789"	1016	"Centropomus poeyi"	"Centropomus"	"280066"	"Actinopterygii"	"Perciformes"	"Centropomidae"	1	1	1	"demersal"	NA
"37"	"Fis-33792"	10160	"Gymnothorax reticularis"	"Gymnothorax"	"217511"	"Actinopterygii"	"Anguilliformes"	"Muraenidae"	0	0	1	"demersal"	NA
"38"	"Fis-29855"	1017	"Conger triporiceps"	"Conger"	"271749"	"Actinopterygii"	"Anguilliformes"	"Congridae"	0	0	1	"reef-associated"	"oceanodromous"
"39"	"Fis-23848"	1018	"Symphurus diomedeanus"	"Symphurus"	"159358"	"Actinopterygii"	"Pleuronectiformes"	"Cynoglossidae"	0	0	1	"reef-associated"	NA
"40"	"Fis-33807"	10185	"Scorpaena maderensis"	"Scorpaena"	"274721"	"Actinopterygii"	"Scorpaeniformes"	"Scorpaenidae"	0	1	1	"demersal"	NA
"41"	"Fis-33808"	10186	"Lepidotrigla dieuzeidei"	"Lepidotrigla"	"127265"	"Actinopterygii"	"Scorpaeniformes"	"Triglidae"	0	0	1	"demersal"	NA
"42"	"Fis-23849"	1019	"Symphurus plagiusa"	"Symphurus"	"159363"	"Actinopterygii"	"Pleuronectiformes"	"Cynoglossidae"	0	1	1	"demersal"	NA
"43"	"Fis-27708"	10190	"Schedophilus pemarco"	"Schedophilus"	"273317"	"Actinopterygii"	"Perciformes"	"Centrolophidae"	0	0	1	"benthopelagic"	NA
"44"	"Fis-33809"	10191	"Chaetodon robustus"	"Chaetodon"	"126837"	"Actinopterygii"	"Perciformes"	"Chaetodontidae"	0	0	1	"reef-associated"	NA
"45"	"Fis-33810"	10192	"Chiasmodon niger"	"Chiasmodon"	"126840"	"Actinopterygii"	"Perciformes"	"Chiasmodontidae"	0	0	1	"pelagic-oceanic"	NA
"46"	"Fis-33811"	10193	"Centrarchops chapini"	"Centrarchops"	"280054"	"Actinopterygii"	"Perciformes"	"Dinopercidae"	0	0	1	"demersal"	NA
"47"	"Fis-27709"	10194	"Emmelichthys ruber"	"Emmelichthys"	"278718"	"Actinopterygii"	"Perciformes"	"Emmelichthyidae"	0	0	1	"demersal"	"oceanodromous"
"48"	"Fis-27710"	10195	"Sufflogobius bibarbatus"	"Sufflogobius"	"219573"	"Actinopterygii"	"Perciformes"	"Gobiidae"	0	0	1	"demersal"	NA
"49"	"Fis-33812"	10197	"Cubiceps baxteri"	"Cubiceps"	"219745"	"Actinopterygii"	"Perciformes"	"Nomeidae"	0	0	1	"pelagic-oceanic"	NA
"50"	"Fis-27712"	10199	"Miracorvina angolensis"	"Miracorvina"	"281578"	"Actinopterygii"	"Perciformes"	"Sciaenidae"	0	0	1	"demersal"	NA
"51"	"Fis-22773"	102	"Conger esculentus"	"Conger"	"271742"	"Actinopterygii"	"Anguilliformes"	"Congridae"	0	0	1	"reef-associated"	NA
"52"	"Fis-27713"	10200	"Pseudotolithus epipercus"	"Pseudotolithus"	"273785"	"Actinopterygii"	"Perciformes"	"Sciaenidae"	1	1	1	"demersal"	" "
"53"	"Fis-33814"	10201	"Umbrina steindachneri"	"Umbrina"	"273803"	"Actinopterygii"	"Perciformes"	"Sciaenidae"	0	0	1	"benthopelagic"	NA
"54"	"Fis-33815"	10202	"Sphyraena viridensis"	"Sphyraena"	"127069"	"Actinopterygii"	"Perciformes"	"Sphyraenidae"	0	0	1	"pelagic-neritic"	NA
"55"	"Fis-27714"	10206	"Chilomycterus reticulatus"	"Chilomycterus"	"219964"	"Actinopterygii"	"Tetraodontiformes"	"Diodontidae"	0	0	1	"reef-associated"	NA
"56"	"Fis-23467"	1021	"Dactylopterus volitans"	"Dactylopterus"	"127232"	"Actinopterygii"	"Scorpaeniformes"	"Dactylopteridae"	0	1	1	"reef-associated"	NA
"57"	"Fis-27717"	10216	"Pseudechidna brummeri"	"Pseudechidna"	"217528"	"Actinopterygii"	"Anguilliformes"	"Muraenidae"	0	0	1	"reef-associated"	NA
"58"	"Fis-27718"	10217	"Uropterygius micropterus"	"Uropterygius"	"212034"	"Actinopterygii"	"Anguilliformes"	"Muraenidae"	0	1	1	"reef-associated"	NA
"59"	"Fis-29912"	1022	"Diodon hystrix"	"Diodon"	"127403"	"Actinopterygii"	"Tetraodontiformes"	"Diodontidae"	0	0	1	"reef-associated"	NA
"60"	"Fis-27719"	10220	"Netuma thalassina"	"Netuma"	"281745"	"Actinopterygii"	"Siluriformes"	"Ariidae"	1	1	1	"demersal"	"amphidromous"
"61"	"Fis-27720"	10224	"Neopomacentrus anabatoides"	"Neopomacentrus"	"278909"	"Actinopterygii"	"Perciformes"	"Pomacentridae"	0	0	1	"reef-associated"	"non-migratory"
