"V1" "V2"
"140" "Bizerte" "4.95576884540494e-06"
"141" "Blaye" "2.38801786547338e-05"
"142" "Blexen" "0.000625984497975018"
"143" "Blyth" "0.000150034736196236"
"144" "Boca Grande (Venezuela)" "0.000667530395662808"
"145" "Bonny" "0.00093892240430149"
"146" "Bopec" "0.000971183371346496"
"147" "Borburata" "1.83586906676858e-07"
"148" "Bordeaux" "0.000629541455370419"
"149" "Borg Havniks" "0.000168770968911769"
"150" "Boston (United Kingdom)" "1.10880944231839e-05"
"151" "Boston (USA)" "0.00365486040057628"
"152" "Botany Bay" "0.013217403303411"
"153" "Botas" "2.45775620296707e-05"
"154" "Botlek" "0.0134907697939893"
"155" "Boulogne" "0.000255133509152405"
"156" "Bourgas" "0.000996746363031153"
"157" "Bouri" "6.64936141248074e-06"
"158" "Braefoot Bay" "0.000131198418223732"
"159" "Braila" "1.22046547013088e-06"
"160" "Brake" "0.00206104065927171"
"161" "Brass" "2.45190916966509e-05"
"162" "Braviken" "1.64881939312966e-05"
"163" "Braye" "1.46778802445624e-07"
"164" "Bremen" "0.00158384871669115"
"165" "Bremerhaven" "0.0309186259144614"
"166" "Breskens" "0"
"167" "Brest" "3.90964898734358e-05"
"168" "Brevik" "3.04448391874601e-05"
"169" "Bridgeport (Connecticut)" "3.3438990230561e-05"
"170" "Bridgwater" "7.49977857594786e-12"
"171" "Bridport" "8.17457213031503e-13"
"172" "Brightlingsea" "4.0701443226876e-07"
"173" "Brighton" "5.81577254396004e-05"
"174" "Brisbane" "0.0164400389370742"
"175" "Bristol" "0.00224956983067559"
"176" "Brixham" "5.56952928221222e-10"
"177" "Brodick" "1.53784762702003e-11"
"178" "Brofjorden" "0.00047019668385595"
"179" "Brownsville" "8.28680828898198e-05"
"180" "Brunsbuttel" "0.00492423823581378"
"181" "Brunswick" "0.00174623475600333"
"182" "Buenos Aires" "0.0171285635158536"
"183" "Bull Arm" "3.94288135630028e-06"
"184" "Bullen Bay" "0.00114547410783816"
"185" "Bunbury" "1.21330030760092e-05"
"186" "Burnaby" "0.000472207321111306"
"187" "Burntisland" "6.70494778121089e-06"
"188" "Burrard Inlet" "0.00170808275817091"
"189" "Burriana" "7.92426086970721e-08"
"190" "Busan" "0.0569123120401457"
"191" "Bushehr" "0.000198290159992287"
"192" "Busum" "2.55228590040346e-07"
"193" "Butinge" "6.08446058228962e-05"
"194" "Butzfleth" "0.000484719796319921"
"195" "Cabinda" "6.50734645279982e-07"
"196" "Cadiz" "0.00116037513030087"
"197" "Caen" "6.84037153474426e-05"
"198" "Cagliari" "1.23782192151811e-05"
"199" "Cairns" "2.26589629100937e-05"
"200" "Calais" "4.85749440922723e-05"
"201" "Camas-Washougal" "0"
"202" "Camden" "0.00274685426287713"
"203" "Cameron" "0.00315208686697943"
"204" "Campbeltown" "2.22376078506947e-06"
"205" "Campeche" "8.47184590195837e-05"
"206" "Campeltown" "8.99747858207345e-06"
"207" "Canakkale" "6.13726614504539e-05"
"208" "Canvey Island" "1.27514263731365e-05"
"209" "Cape Cod Canal" "1.3111849211267e-05"
"210" "Cape Town" "0.0178987684665805"
"211" "Caracas Bay" "5.60611620579188e-05"
"212" "Carboneras" "0.000111724941383007"
"213" "Cardiff" "0.000184852092436349"
"214" "Caronte" "0.00776010174837294"
"215" "Cartagena (Colombia)" "0.0038445598455713"
"216" "Cartagena (Spain)" "6.36661740084365e-05"
"217" "Casablanca" "0.00219812545409581"
"218" "Castellon" "0.00160649632279997"
"219" "Castries" "0.0005876185918543"
"220" "Catania" "4.6762542580403e-06"
"221" "Cayo Arcas" "0.000194805842378187"
"222" "Cebu" "2.11682198214547e-07"
"223" "Cephalonia" "1.08272120502573e-06"
"224" "Ceuta" "0.00447249146089945"
"225" "Chabahar" "6.37697498000467e-05"
"226" "Chaguaramas" "0.000134282791882656"
"227" "Chalmatte" "8.91414185714146e-05"
"228" "Chalmette" "0.00122824361330864"
"229" "Changshu" "0.000463283370868983"
"230" "Changzhou" "0.000962595036527403"
"231" "Charleston" "0.0202563347004443"
"232" "Charlestown (St Kitts)" "6.71843026800456e-06"
"233" "Chekka" "0.000106047380552199"
"234" "Chemainus" "0.000490720588525617"
"235" "Chennai" "0.00477133484882941"
"236" "Cherbourg" "0.00143057008625092"
"237" "Chernomorsk" "8.03180059127939e-08"
"238" "Chiba" "0.0164503965220916"
"239" "Chipiona" "1.83872152478282e-05"
"240" "Chiwan" "0.0175393258770623"
"241" "Ciudad del Carmen" "5.29916820588561e-05"
"242" "Civitavecchia" "2.75204918201988e-05"
"243" "Claxton Bay" "1.02382855393657e-06"
"244" "Cliffe" "2.5641607515059e-06"
"245" "Coatzacoalcos" "0.0038719827446384"
"246" "Coco Solo" "0.00592083331332505"
"247" "Coleraine" "5.59068193073387e-07"
"248" "Colombo" "0.0243962047303234"
"249" "Colon" "0.0194951254507881"
"250" "Colonia" "1.92956761679852e-13"
"251" "Columbia/Snake River System" "0.000262987274407434"
"252" "Come By Chance" "0.00156419992989743"
"253" "Conakry" "3.31210758504064e-05"
"254" "Constantza" "0.00730414152335701"
"255" "Contrecoeur" "0.000183993999289256"
"256" "Coos Bay" "4.30431184469393e-05"
"257" "Copenhagen" "0.00162562039423031"
"258" "Cordemais" "2.27434058093223e-05"
"259" "Cordova (Alaska)" "9.55242698275072e-08"
"260" "Corinth" "5.45440311541245e-05"
"261" "Corinth Canal" "2.50320439411089e-05"
"262" "Cork" "0.00082350808940912"
"263" "Cornwall" "6.83159976948566e-05"
"264" "Corpus Christi" "0.00763030878338888"
"265" "Coryton" "0.000424569854111434"
"266" "Cote-Sainte-Catherine" "0.00101857228957203"
"267" "Cotonou" "0.000180856302695154"
"268" "Covenas" "0.00119692028869078"
"269" "Cove Point" "5.02277341729584e-06"
"270" "Cowes" "1.11099970523387e-06"
"271" "Cowichan Bay" "0.000108766647340386"
"272" "Creeksea" "6.20572207787884e-06"
"273" "Cristobal" "0.00175229182533798"
"274" "Crofton" "0.000856786834516621"
"275" "Cul-de-Sac" "0.00101629317166008"
"276" "Cumarebo" "1.73924054274188e-05"
"277" "Cuxhaven" "0.00364470183605536"
"278" "Dagbuell" "2.83661982791727e-13"
"279" "Dagukou" "0.0392613928691166"
"280" "Dakar" "0.00635608416448463"
"281" "Dalian" "0.00854888073023796"
"282" "Damietta" "0.00730244585281314"
"283" "Dammam" "0.00856334323502561"
"284" "Dampier" "2.74700564304453e-05"
"285" "Dartmouth (Canada)" "0.00135833326848767"
"286" "Dartmouth (United Kingdom)" "1.28668936005827e-06"
"287" "Darwin" "0.000109050155436496"
"288" "Das Island" "0.00127441516248339"
"289" "Davant" "0.000963710760546133"
"290" "Daxie" "0.000315931819672488"
"291" "Deal" "5.47888998359003e-06"
"292" "Degerhamn" "3.69345859230208e-07"
"293" "Delaware City" "0.00116632760845359"
"294" "Delfzijl" "0.000239476242157033"
"295" "Dellys" "4.27232236255293e-07"
"296" "Den Helder" "5.9436592346751e-06"
"297" "Denia" "1.66155234015974e-08"
"298" "Derince" "1.43367257221527e-06"
"299" "Dharamtar" "0"
"300" "Dhekelia" "8.26025338731551e-05"
"301" "Dieppe" "7.77346430225201e-06"
"302" "Djen-Djen" "1.04521979328309e-05"
"303" "Dneprovsko-Bugsky" "0.00126338100168233"
"304" "Doha (Kuwait)" "3.90943943884281e-11"
"305" "Doha (Qatar)" "0.00359369623813799"
"306" "Donges" "0.00165609621838669"
"307" "Donso" "6.25374125817757e-08"
"308" "Dordrecht" "0.000386691760463465"
"309" "Dos Bocas" "0.000317466493314877"
"310" "Douglas" "1.40699049133719e-06"
"311" "Dover" "0.000367705081118608"
"312" "Drammen" "2.07499573283698e-05"
"313" "Drift River" "5.33068651069613e-05"
"314" "Drogheda" "1.90981440122417e-05"
"315" "DTSE/GEGUA" "0.00126903356506869"
"316" "Dublin" "0.00096100706283464"
"317" "Dubrovnik" "4.79053463564583e-11"
"318" "Dundalk (Ireland)" "9.75511204037716e-08"
"319" "Dunkirk" "0.00511593488978901"
"320" "Dun Laoghaire" "1.44527279033468e-10"
"321" "Dunoon" "2.32166952329749e-10"
"322" "Durban" "0.0308110745306062"
"323" "Dutch Harbor" "0.00170310291863363"
"324" "Dymchurch" "9.57189384265256e-06"
"325" "Eastern Passage" "0.000429876970440279"
"326" "Eastport" "3.24098559733033e-05"
"327" "East Said" "0.0141299220979139"
"328" "Ebeltoft" "1.48436818392383e-13"
"329" "Eckernforde" "7.5764204909845e-09"
"330" "Edco" "0.000179712460742332"
"331" "Eemshaven" "0.000113368148453641"
"332" "Egersund" "1.0034496478184e-07"
"333" "Ekenas" "2.85706103886341e-07"
"334" "El Dekheila" "0.00283349555260859"
"335" "Eleusis" "0.00116873625613123"
"336" "El Maadiya" "5.3250954235029e-07"
"337" "El Palito" "7.77417996936647e-05"
"338" "El Segundo" "0.00090078537704319"
"339" "Elsfleth" "0.00135471866374492"
"340" "Elsinore" "2.7919464518078e-09"
"341" "El Tablazo" "0.000111251667502699"
"342" "Elyaf Pier" "6.60398957741393e-10"
"343" "Emden" "0.00120567285142748"
"344" "Ennore" "0.000344020838104031"
"345" "Ensenada" "6.11860961030608e-06"
"346" "Ensted" "9.38203715512564e-05"
"347" "Eregli" "0.0001727639753486"
"348" "Esbjerg" "0.000350169247343546"
"349" "Espoir" "0.000187895549179307"
"350" "Esquimalt" "3.95113640064837e-05"
"351" "Etang de Berre" "2.2562072249821e-05"
"352" "Europoort" "0.010924225434604"
"353" "Evapatoria" "8.77367127838369e-08"
"354" "Everett" "0.00160801897027096"
"355" "Evpatoria" "7.71385506581623e-08"
"356" "Faaborg" "1.45610439261645e-08"
"357" "Fagerstrand" "2.09783694982146e-06"
"358" "Fairview Cove" "0.00293592427902423"
"359" "Fakse Ladeplads" "1.71085957623163e-08"
"360" "Falkenberg" "9.9049286745867e-06"
"361" "Fall River" "6.76621613832085e-05"
"362" "Falmouth" "0.000715649208371194"
"363" "Famagusta" "9.20350794286762e-06"
"364" "Fangcheng" "0.000908035362586768"
"365" "Farjsund" "5.08648143826562e-07"
"366" "Farsund" "6.31141574225502e-06"
"367" "Fateh" "0.000177657178922597"
"368" "Fawley" "0.00389138175847248"
"369" "Fecamp" "2.28895341736202e-06"
"370" "Felixstowe" "0.0204822342485282"
"371" "Fenit" "2.49029708989656e-05"
"372" "Feodosia" "4.36775769685482e-06"
"373" "Fernandina" "0.00037281359699548"
"374" "Ferndale" "0.00104032588511838"
"375" "Ferrol" "0.000771684781654458"
"376" "Finnart" "0.00014390823233168"
"377" "Finnsnes" "3.38699559399025e-06"
"378" "Fleetwood" "6.18100721594406e-06"
"379" "Flensburg" "6.88692898931365e-07"
"380" "Floro" "1.49507672753124e-06"
"381" "Folkestone" "9.43607414427561e-11"
"382" "Fort Amador" "0"
"383" "Fort-de-France" "0.00163489825117191"
"384" "Forth" "8.10174658394391e-06"
"385" "Fort Pierce" "6.49229279225949e-06"
"386" "Fos" "0.00366941876152937"
"387" "Fowey" "6.1599124957179e-05"
"388" "Fraserburgh" "7.59731827448817e-08"
"389" "Fredericia" "0.000686037170691822"
"390" "Frederikshavn" "2.88931552441252e-05"
"391" "Frederiksvaerk" "5.21090760574605e-06"
"392" "Freeport (Bahamas)" "0.00411855528044691"
"393" "Freeport (USA)" "0.00180865068797842"
"394" "Fremantle" "0.00797126155230699"
"395" "Friedrichsort" "3.92953087147152e-05"
"396" "Fuik Bay" "7.39615886946599e-06"
"397" "Fujairah" "0.0393540326179217"
"398" "Fukuyama" "0.00171168364802132"
"399" "Funabashi" "0.000691273586990393"
"400" "Gabes" "8.29887437108212e-05"
"401" "Galatz" "8.40172693672425e-06"
"402" "Galeota Point" "6.10009977308756e-07"
